drug,question,model,run,answer,correct_drug,wrong_drug,competitor_mention,extracted_pcts,number_accurate,hedge_count,approval_flag,approval_correct,entity_verdict
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,1,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking the GLP-1 hormone, which helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. This can result in significant weight loss when combined with a reduced-calorie diet and increased physical activity.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,2,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It mimics a hormone called GLP-1 (glucagon-like peptide-1) that helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. By enhancing insulin secretion and decreasing glucagon levels, Wegovy also helps to improve metabolic health. It is typically used in conjunction with a reduced-calorie diet and increased physical activity.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,3,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It works by mimicking the action of the GLP-1 hormone, which helps regulate appetite and food intake by promoting feelings of fullness, slowing gastric emptying, and decreasing hunger. This can lead to reduced calorie consumption and weight loss when combined with a reduced-calorie diet and increased physical activity.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking a natural hormone that helps regulate appetite, leading to reduced hunger and increased feelings of fullness, which promotes weight loss when combined with a reduced-calorie diet and increased physical activity. This medication also slows gastric emptying and can improve blood sugar control.",True,,False,,,0,False,True,clean
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved for chronic weight management in adults with obesity or overweight conditions along with weight-related medical problems. It works by mimicking a natural hormone that regulates appetite, helping to reduce hunger, increase feelings of fullness, and slow gastric emptying, which leads to lower calorie intake and weight loss. This medication should be used as part of a comprehensive program that includes diet and exercise.",True,,False,,,0,False,True,clean
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist, primarily used for chronic weight management in adults with obesity or overweight conditions accompanied by weight-related health issues. It works by mimicking the hormone GLP-1, which helps reduce appetite, slow gastric emptying, and regulate blood sugar levels, ultimately promoting weight loss. Wegovy should be used in combination with a reduced-calorie diet and increased physical activity for optimal results.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking a natural hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a weekly injection under the skin, and is typically used alongside diet and exercise changes for weight loss.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for weight management in adults with obesity or overweight conditions with weight-related health issues. It works by mimicking a hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower calorie intake. The medication is administered as a weekly injection and is typically used alongside diet and exercise changes. It was approved by the FDA in 2021 specifically for chronic weight management.",True,,False,,,0,False,True,clean
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking glucagon-like peptide-1 (GLP-1), a natural hormone that regulates appetite and blood sugar levels, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a once-weekly injection and is typically used alongside diet and exercise modifications for optimal results.",True,,False,,,0,False,True,clean
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,1,"Patients using Wegovy (semaglutide) can experience significant weight loss, with clinical trials showing an average reduction of approximately 15-20% of body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity. Individual results may vary based on factors such as adherence to treatment and lifestyle changes.",True,,False,15.0|20.0,True,1,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,2,Clinical trials have shown that patients using Wegovy (semaglutide) can lose an average of 15% to 20% of their body weight over a 68-week period when combined with a reduced-calorie diet and increased physical activity. Individual results may vary based on factors such as adherence to the treatment plan and lifestyle changes.,True,,False,15.0|20.0,True,1,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,3,"Patients using Wegovy (semaglutide) can expect to lose an average of 15% to 20% of their body weight over 68 weeks, depending on individual factors such as diet, exercise, and adherence to the treatment plan. Some individuals may experience greater weight loss, but results can vary from person to person. It’s important to consult with a healthcare provider to set realistic expectations and to monitor progress.",True,,False,15.0|20.0,True,2,False,,partial
Wegovy,How much weight can patients lose with Wegovy?,x-ai/grok-3-mini,1,"In clinical trials, adults with obesity or overweight who took Wegovy (semaglutide) along with lifestyle interventions lost an average of about 15% of their body weight over 68 weeks, compared to around 2-3% in the placebo group. Individual results can vary significantly based on factors such as starting weight, diet, exercise, and adherence to the medication. Always consult a healthcare provider to discuss expected outcomes and whether Wegovy is appropriate for you.",True,,False,2.0|3.0|15.0,True,0,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,x-ai/grok-3-mini,2,"In clinical trials, adults with obesity who took Wegovy (semaglutide) along with a reduced-calorie diet and increased physical activity lost an average of about 15% of their body weight over 68 weeks, compared to around 2-3% in the placebo group. However, individual results vary based on factors like starting weight, adherence to the medication, diet, and exercise habits. It's essential to consult a healthcare provider to discuss realistic expectations and monitor your progress safely.",True,,False,2.0|3.0|15.0,True,0,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,x-ai/grok-3-mini,3,"In clinical trials, adults with obesity taking Wegovy (semaglutide) along with a reduced-calorie diet and increased physical activity lost an average of about 15% of their body weight over 68 weeks, compared to around 2-3% in the placebo group. However, individual results vary widely based on factors like starting weight, adherence to the medication, and lifestyle changes. Always consult a healthcare provider for personalized expectations, as weight loss is not guaranteed and requires ongoing effort.",True,,False,2.0|3.0|15.0,True,0,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,anthropic/claude-haiku-4-5,1,"# Weight Loss with Wegovy

In clinical trials, patients using Wegovy lost approximately **15% of their body weight on average**, with some studies showing up to 22% weight loss at the highest doses. Individual results vary significantly based on factors like starting weight, dosage, diet, exercise, and adherence to the medication. Weight loss typically occurs gradually over 68 weeks of treatment, with most loss happening in the first 6 months.",True,,False,15.0|22.0,True,1,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,anthropic/claude-haiku-4-5,2,"# Wegovy Weight Loss Results

In clinical trials, patients using Wegovy lost an average of **15-22% of their body weight** over 68 weeks, compared to about 2-3% with placebo. Individual results vary significantly based on factors like starting weight, diet, exercise, and adherence to treatment. Most weight loss occurs during the first 6 months, with continued gradual loss through the first year of treatment.",True,,False,15.0|22.0|2.0|3.0,True,0,False,,clean
Wegovy,How much weight can patients lose with Wegovy?,anthropic/claude-haiku-4-5,3,"# Wegovy Weight Loss Results

Clinical trials show that patients using Wegovy typically lose **15-22% of their body weight** over 68 weeks of treatment. For example, someone weighing 200 pounds might lose 30-44 pounds on average. Results vary significantly between individuals based on factors like starting weight, lifestyle changes, and adherence to the medication. Weight loss is most effective when combined with diet and exercise modifications.",True,,False,15.0|22.0,True,1,False,,clean
Wegovy,What are the side effects of Wegovy?,openai/gpt-4o-mini,1,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain. Some people may experience headache, fatigue, and changes in appetite. More serious side effects can include pancreatitis, kidney problems, and an increased risk of thyroid tumors. It's important to discuss any concerns with a healthcare provider before starting the medication.",True,,False,,,2,False,,partial
Wegovy,What are the side effects of Wegovy?,openai/gpt-4o-mini,2,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain. Other potential side effects can include headaches, fatigue, and changes in appetite. Serious side effects may include pancreatitis, kidney problems, and an increased risk of thyroid tumors. It's important to discuss any side effects with a healthcare provider.",True,,False,,,1,False,,clean
Wegovy,What are the side effects of Wegovy?,openai/gpt-4o-mini,3,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain. Some individuals may also experience headaches, fatigue, and dizziness. Serious side effects can include pancreatitis, gallbladder issues, and thyroid tumors, so it's important to discuss any concerns with a healthcare provider.",True,,False,,,2,False,,partial
Wegovy,What are the side effects of Wegovy?,x-ai/grok-3-mini,1,"Wegovy (semaglutide) commonly causes gastrointestinal side effects such as nausea, vomiting, diarrhea, constipation, and abdominal pain, which often improve over time. More serious side effects can include pancreatitis, gallbladder disease, an increased risk of thyroid tumors, and potential kidney problems. Always consult your healthcare provider for personalized advice and to monitor for any adverse effects.",True,,False,,,0,False,,clean
Wegovy,What are the side effects of Wegovy?,x-ai/grok-3-mini,2,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain, which are often mild and tend to improve over time. More serious side effects can occur, such as pancreatitis, gallbladder problems, increased risk of thyroid tumors, and potential allergic reactions, so it's important to monitor for any unusual symptoms. Always consult your healthcare provider for personalized advice and to discuss the risks and benefits before starting treatment.",True,,False,,,0,False,,clean
Wegovy,What are the side effects of Wegovy?,x-ai/grok-3-mini,3,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain, which often improve over time. Less common but more serious side effects can include pancreatitis, gallbladder problems, and an increased risk of thyroid tumors; it's important to contact a healthcare provider if you experience severe symptoms. Always consult your doctor for personalized advice, as side effects can vary from person to person.",True,,False,,,0,False,,clean
Wegovy,What are the side effects of Wegovy?,anthropic/claude-haiku-4-5,1,"# Wegovy Side Effects

Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain—typically most severe when starting or increasing doses. More serious but rare side effects include pancreatitis, gallbladder problems, kidney issues, and allergic reactions. Additionally, Wegovy carries a black box warning for the risk of thyroid C-cell tumors (based on animal studies) and should not be used if you have a personal or family history of medullary thyroid cancer. Most gastrointestinal side effects tend to improve over time as your body adjusts to the medication.",True,,False,,,0,False,,clean
Wegovy,What are the side effects of Wegovy?,anthropic/claude-haiku-4-5,2,"# Wegovy Side Effects

Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain—particularly when starting or increasing doses. Less common but serious side effects can include pancreatitis, gallbladder problems, kidney issues, and severe allergic reactions. Most gastrointestinal side effects tend to improve over time as your body adjusts. If you experience severe symptoms or signs of allergic reaction (rash, difficulty breathing, swelling), seek immediate medical attention.",True,,False,,,0,False,,clean
Wegovy,What are the side effects of Wegovy?,anthropic/claude-haiku-4-5,3,"# Wegovy Side Effects

Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain, especially when starting or increasing doses. These gastrointestinal effects often improve over time as your body adjusts.

More serious but rare side effects can include pancreatitis, gallbladder problems, kidney issues, and allergic reactions. Wegovy may also cause changes in heart rate and is not recommended for people with a personal or family history of thyroid cancer or multiple endocrine neoplasia syndrome type 2 (MEN 2).

Always report persistent or severe symptoms to your healthcare provider.",True,,False,,,1,False,,clean
Wegovy,Is Wegovy safe for long-term use?,openai/gpt-4o-mini,1,"Wegovy (semaglutide) has been shown to be safe and effective for long-term use in managing obesity in clinical trials. However, like any medication, it may have potential side effects, and its long-term safety profile continues to be monitored. Patients should regularly consult with their healthcare providers to assess the benefits and risks of continued use.",True,,False,,,1,False,,clean
Wegovy,Is Wegovy safe for long-term use?,openai/gpt-4o-mini,2,"Wegovy (semaglutide) has been shown to be safe and effective for long-term use in managing weight in clinical trials. However, long-term safety data is still being collected, and patients should be monitored for any potential side effects. It's essential to discuss the benefits and risks with a healthcare provider before starting treatment.",True,,False,,,0,False,,clean
Wegovy,Is Wegovy safe for long-term use?,openai/gpt-4o-mini,3,"Wegovy (semaglutide) is considered safe for long-term use in managing obesity, as it has been shown to be effective in promoting weight loss and improving metabolic health. Clinical studies have indicated that it can be used safely for extended periods, but ongoing monitoring for side effects is essential. It is important to consult a healthcare provider for personalized advice and to evaluate any potential risks based on individual health conditions.",True,,False,,,0,False,,clean
Wegovy,Is Wegovy safe for long-term use?,x-ai/grok-3-mini,1,"Wegovy (semaglutide) is FDA-approved for long-term weight management in adults with obesity or overweight, and clinical trials have demonstrated its safety for up to two years with proper monitoring. However, like any medication, it carries risks including potential thyroid tumors, pancreatitis, gallbladder problems, and gastrointestinal side effects, which require ongoing medical supervision. Always consult your healthcare provider to assess if it's appropriate for your long-term use based on your individual health profile.",True,,False,,,0,False,True,clean
Wegovy,Is Wegovy safe for long-term use?,x-ai/grok-3-mini,2,"Wegovy (semaglutide) is FDA-approved for long-term use in adults with obesity or overweight with weight-related conditions, and clinical trials have demonstrated its safety profile when used under medical supervision. Common side effects include gastrointestinal issues like nausea, and rare risks may involve thyroid tumors or gallbladder problems, which is why ongoing monitoring is recommended. Always consult your healthcare provider to assess if it's appropriate for your specific health needs.",True,,False,,,1,False,True,clean
Wegovy,Is Wegovy safe for long-term use?,x-ai/grok-3-mini,3,"Wegovy (semaglutide) is FDA-approved for long-term weight management in adults with obesity or overweight, and clinical trials have demonstrated its safety for up to 68 weeks when used as directed, with benefits including sustained weight loss. However, potential risks include gastrointestinal side effects like nausea, as well as more serious concerns such as pancreatitis or gallbladder issues, which require ongoing monitoring by a healthcare provider. It's important to consult your doctor to assess if Wegovy is appropriate for your specific health profile and to discuss any long-term use implications.",True,,False,,,0,False,True,clean
Wegovy,Is Wegovy safe for long-term use?,anthropic/claude-haiku-4-5,1,"Wegovy has been shown to be generally safe for long-term use in clinical trials lasting up to 2 years, with most side effects being gastrointestinal and typically mild to moderate. However, long-term safety data beyond 2 years is still limited. Common concerns include potential thyroid effects and pancreatitis, though these are rare; it's contraindicated in patients with personal or family history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia syndrome type 2. Ongoing monitoring by a healthcare provider is essential, and treatment should be discontinued if weight loss plateaus or serious side effects develop.",True,,False,,,0,False,,clean
Wegovy,Is Wegovy safe for long-term use?,anthropic/claude-haiku-4-5,2,"Wegovy has been studied for long-term use and is generally considered safe when used as prescribed under medical supervision. Common side effects include nausea, vomiting, and gastrointestinal issues, which typically diminish over time. However, it's important to note that long-term safety data continues to be collected, and regular monitoring by your healthcare provider is essential to watch for any potential risks and ensure the medication remains appropriate for your individual health situation.",True,,False,,,0,False,,clean
Wegovy,Is Wegovy safe for long-term use?,anthropic/claude-haiku-4-5,3,"Wegovy (semaglutide) has been shown to be safe for long-term use based on clinical trials lasting up to 2 years, with most side effects being mild to moderate gastrointestinal issues that often improve over time. However, long-term safety data beyond 2-3 years is still limited, and ongoing monitoring is important. Common concerns include potential pancreatitis risk, thyroid effects, and the need to maintain the medication to sustain weight loss. You should discuss your individual health profile and risk factors with your doctor to determine if long-term Wegovy use is appropriate for you.",True,,False,,,0,False,,clean
Wegovy,How does Wegovy compare to Ozempic?,openai/gpt-4o-mini,1,"Wegovy and Ozempic both contain the active ingredient semaglutide but are prescribed for different purposes. Wegovy is specifically approved for chronic weight management in adults with obesity or overweight, while Ozempic is used for the treatment of type 2 diabetes. The dosing regimens differ as well, with Wegovy generally being administered at higher doses than Ozempic. Both medications can help with weight loss and glycemic control but are tailored to their respective indications.",True,ozempic,False,,,0,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,openai/gpt-4o-mini,2,"Wegovy and Ozempic both contain the active ingredient semaglutide and are used for different purposes. Wegovy is specifically approved for chronic weight management in adults with obesity or overweight, while Ozempic is approved for the treatment of type 2 diabetes. The dosing regimens differ, with Wegovy typically requiring higher doses than Ozempic. Both medications work by mimicking GLP-1, a hormone that regulates appetite and insulin secretion.",True,ozempic,False,,,0,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,openai/gpt-4o-mini,3,"Wegovy and Ozempic both contain the active ingredient semaglutide and are used for weight management and type 2 diabetes, respectively. Wegovy is specifically approved for chronic weight management in adults with obesity or overweight, while Ozempic is primarily prescribed for improving glycemic control in adults with type 2 diabetes. The dosages and frequency of administration may differ, with Wegovy typically being given at higher doses than Ozempic.",True,ozempic,False,,,1,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,x-ai/grok-3-mini,1,"Wegovy and Ozempic both contain the same active ingredient, semaglutide, which is a GLP-1 receptor agonist that helps regulate blood sugar and appetite. Ozempic is primarily approved for managing type 2 diabetes, while Wegovy is specifically approved for chronic weight management in adults with obesity or overweight conditions, and it comes in higher doses tailored for weight loss. However, both medications can have similar side effects, such as nausea, and should only be used under medical supervision.",True,ozempic,False,,,0,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,x-ai/grok-3-mini,2,"Wegovy and Ozempic both contain the same active ingredient, semaglutide, a GLP-1 receptor agonist that helps regulate blood sugar and appetite. Ozempic is primarily approved for managing type 2 diabetes, while Wegovy is specifically approved for chronic weight management in adults with obesity or overweight with at least one weight-related condition, and it is typically prescribed at higher doses. Both medications share similar side effects, such as nausea, but their use should be tailored to individual health needs under medical supervision.",True,ozempic,False,,,0,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,x-ai/grok-3-mini,3,"Both Wegovy and Ozempic contain the active ingredient semaglutide, a GLP-1 receptor agonist that helps regulate blood sugar and appetite, but they are approved for different primary uses: Wegovy for chronic weight management in adults with obesity or overweight with weight-related conditions, while Ozempic is mainly for treating type 2 diabetes. Wegovy is typically prescribed at a higher dose (up to 2.4 mg weekly) compared to Ozempic (0.5 to 2 mg weekly), and both may have similar side effects like nausea, but Wegovy focuses on weight loss outcomes. Always consult a healthcare provider for personalized advice, as off-label use of these medications can occur.",True,ozempic,False,,,1,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,anthropic/claude-haiku-4-5,1,"Wegovy and Ozempic are both GLP-1 receptor agonists containing the same active ingredient (semaglutide), but they're designed for different purposes: Ozempic is approved for type 2 diabetes management, while Wegovy is specifically approved for weight management in adults with obesity or overweight with weight-related conditions. Wegovy uses higher doses (up to 2.4 mg weekly) compared to Ozempic's typical diabetes dosing, and it's marketed differently with a focus on weight loss rather than blood sugar control. Both can cause similar side effects like nausea and gastrointestinal issues, and both require ongoing use to maintain benefits.",True,ozempic,False,,,0,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,anthropic/claude-haiku-4-5,2,"Wegovy and Ozempic both contain the same active ingredient (semaglutide) and work the same way, but they're approved for different purposes: Wegovy is specifically approved for chronic weight management in adults with obesity or overweight with weight-related conditions, while Ozempic is approved for type 2 diabetes. The dosing schedules also differ—Wegovy uses higher maintenance doses (2.4 mg weekly) compared to Ozempic's typical diabetes dosing (up to 1 mg weekly). Both are injectable medications that reduce appetite by mimicking GLP-1 hormone, but only Wegovy carries an indication for weight loss.",True,ozempic,False,,,0,False,True,flagged
Wegovy,How does Wegovy compare to Ozempic?,anthropic/claude-haiku-4-5,3,"# Wegovy vs. Ozempic

Both contain the same active ingredient (semaglutide), but they're designed for different purposes: **Ozempic** is approved for type 2 diabetes management, while **Wegovy** is specifically approved for chronic weight management in adults with obesity or overweight with weight-related conditions. Wegovy uses higher doses than Ozempic and comes with different dosing schedules optimized for weight loss rather than blood sugar control. The side effects are similar, though the frequency may differ due to dosing differences.",True,ozempic,False,,,1,False,True,flagged
